Temp,TM,Tm,SLP,H,VS,V,CO,NO2,O3,SO2,PM10,PM25
17.7,26.5,9.8,1015.3,73,1.4,4.8,0.180000007,44.38999939,57.47999954,7.46999979,59.97999954,79
20.4,28.4,15.2,1014.7,62,2.4,5,0.270000011,60.34999847,49.61000061,5.880000114,42.11000061,62.70833333
19.4,28.4,12.8,1017.3,57,2.3,13.1,0.280000001,27.06999969,60.52999878,9.130000114,56.59999847,81
18.2,26.1,12.2,1016.3,54,1.9,24.4,0.430000007,54.63000107,46.36000061,4.650000095,60.18000031,21.20833333
19,26.8,11.7,1016.3,58,2.6,16.7,0.200000003,23.56999969,79.68000031,4.449999809,55.29000092,1.916666667
18.7,27.8,13.3,1016.2,69,2.4,7.4,0.340000004,69.44000244,27.92000008,9.789999962,58.90000153,1.833333333
20.2,30.1,11.9,1015.7,58,1.9,6.7,0.270000011,23.39999962,71.80000305,10.05000019,51.54999924,1.791666667
21,30.7,11.7,1016.5,62,1.6,4.3,0.050000001,17.36000061,51.70000076,3.539999962,44.86000061,31.625
21.6,30.7,13.6,1016.1,62,1.9,7.8,0.270000011,26.97999954,64.43000031,13.77999973,50.61000061,112
22.6,30.6,15.7,1015.4,62,2.6,8.1,0.119999997,31.23999977,61.52000046,3.440000057,58.18999863,105
22.5,31.8,13.7,1014.6,57,2.3,5.9,0.090000004,31.55999947,70.05999756,6.210000038,54.56999969,117
24,33.8,13.6,1009.7,53,1.9,4.6,0.209999993,40.47999954,39.61000061,1.99000001,50.90000153,122
23.1,33.8,17.3,1008.2,61,2.3,4.3,0.219999999,28.31999969,73.54000092,5.860000134,47.13999939,76
24,31.7,16.8,1010.7,70,1.4,1.7,0.150000006,25.35000038,50.75999832,7.739999771,62.31999969,159
23.6,31.6,17.3,1011.1,65,1.6,5.2,0.180000007,36.5,60.13000107,2.829999924,47.93000031,147
23.8,33,14.9,1010.4,64,1.9,3.9,0.159999996,21.38999939,67.58000183,7.389999866,46.02999878,111
22.6,33,18.1,1013.1,67,2.1,11.3,0.25,31.54000092,61.61999893,9.659999847,40.41999817,59
23,30,14.4,1016.1,55,2.7,6.7,0.850000024,51.97999954,47.34000015,10.14999962,51.95000076,77.20833333
22.1,28.9,14.3,1016.1,65,1.9,5.4,0.170000002,26.89999962,59.61999893,7.489999771,35.97999954,87
23.2,30.4,14.9,1014.6,60,2.4,9.4,0.430000007,32.25,52.41999817,10.76000023,61.79000092,90
24,30.5,16.8,1009.3,61,2.1,18.7,0.189999998,45.68000031,47.15000153,20.37999916,51.36999893,63.91666667
24.6,31.7,17.9,1008.5,68,2.3,14.1,0.25,36.27000046,56.38999939,7.510000229,51.36999893,98
27.1,34.8,17.7,1009.7,52,1.6,6.1,0.230000004,47.02000046,42.20999908,5.190000057,50.68999863,123
26.1,34.8,17.9,1008.8,54,2.6,11.9,0.039999999,31.59000015,60.81999969,6.449999809,25.81999969,64
25.2,33.5,19.2,1006.4,55,1.9,9.6,0.189999998,35.72000122,62.52000046,6.1,41.97000122,62
27.3,34.8,19.3,1007.6,55,1.9,10,0.209999993,48.68999863,61.83000183,5.289999962,27.25,88.375
27.2,34.8,21.8,1010.3,56,1.9,10.9,0.25,19.88999939,70.75,8.579999924,45.13000107,77
23.6,34.3,17.7,1010.4,51,2.6,15.9,0.360000014,46.20999908,56.43999863,3.710000038,49.34999847,52
23.2,29.6,16.7,1008.6,54,1.9,13.1,0.189999998,21.5,82.54000092,4.440000057,48.18999863,52
23.8,30.9,16.7,1009,52,1.6,6.5,0.270000011,50.29000092,42.38999939,8.960000038,43.45000076,128
23.9,33.7,16,1009.3,60,2.4,7.8,0.270000011,21.82999992,72.68000031,9.390000343,43.63000107,87
21.2,33.7,17,1009.7,75,1.9,5.6,0.01,18.22999954,51.11000061,3.099999905,36.79000092,2.916666667
25.6,33.8,17.9,1008.7,47,2.1,4.4,0.25999999,22.06999969,69.01000214,13.21000004,43.18000031,23.20833333
25.7,36,17.8,1009,50,1.8,9.3,0.129999995,24.27000046,69.97000122,2.99000001,40.90000153,15.16666667
25.1,36,18.3,1009.5,56,2.7,9.1,0.100000001,30.02000046,72.12000275,6.320000172,50.79000092,21.25
26.3,32.9,18.4,1008,40,2.7,13,0.200000003,27.57999992,50.77000046,2.25,50.04999924,25.75
25.8,33.2,18.7,1006.8,38,2.4,15.6,0.209999993,17.26000023,74.29000092,5.75,44.81000137,52
26.8,34.9,17.8,1005.8,33,1.9,12.8,0.159999996,24.44000053,52.45999908,7.710000038,55.00999832,89
29.5,37,18.5,1005.2,30,1.9,10.6,0.159999996,36.52000046,59.72000122,2.539999962,45.52999878,81
29.2,37.5,20,1006.1,38,2.6,5.9,0.150000006,14.06000042,74.73000336,7.050000191,33.02999878,105
31.1,37.8,21.7,1005.6,34,1.8,8.1,0.230000004,26.15999985,67.51999664,9.279999733,31.07999992,117
29.9,37.8,22.2,1006.7,35,2.6,6.7,0.75,43.47000122,54.93000031,6.789999962,38.84999847,20.79166667
29.8,37,22.4,1006.5,33,1.9,8.1,0.170000002,26.95999908,63.04000092,8.010000229,31.47999954,64.79166667
29.3,36.1,23.3,1007.6,39,1.9,7.4,0.419999987,28.73999977,55.97999954,10.48999977,58.31999969,87
29.8,36.6,21.4,1007.8,37,1.9,8.1,0.200000003,48.81999969,46.34000015,20.5,41.45999908,84
28.2,36.6,21.9,1007.1,45,1.9,6.5,0.219999999,30.93000031,61.49000168,7.150000095,42.52000046,46
28.3,36.4,20.1,1004,47,1.9,6.3,0.189999998,47.16999817,48.45999908,5.03000021,49.49000168,104
32.1,40.2,20.8,1000.1,28,2.1,10.4,0.039999999,30.94000053,65.55999756,6.369999886,31.10000038,109
29,37.1,21.9,1001.7,31,2.7,7.2,0.129999995,37.38000107,62.65000153,6.260000229,43.22999954,63
29.1,37.8,19.5,1002.9,37,1.9,4.1,0.180000007,46.18999863,62.88999939,5.309999943,31.52000046,77
29.3,37.9,20.3,1002.9,35,2.3,4.4,0.25999999,18.28000069,72.27999878,8.640000343,40.68000031,110
30.5,38.6,20.7,1003.4,36,1.9,7.6,0.280000001,44.18999863,63.52000046,3.690000057,44.63999939,42.95833333
27.2,33.2,20.9,1010.1,53,1.9,7.6,0.200000003,22.39999962,84.51999664,4.289999962,45.97000122,30.875
28.6,34.6,21.5,1009.9,51,2.3,4.6,0.25,48.13000107,44.83000183,8.819999695,50.09999847,75
30,37.4,22.5,1009,48,2.6,3,0.25999999,21.84000015,76.23000336,9.729999542,37.34999847,106
31.1,38.5,23.2,1007.7,45,1.9,3.7,0.02,16.85000038,54.66999817,3.329999924,34.50999832,120
29.9,38.5,24.3,1008.3,53,1.9,6.7,0.25999999,25.87999916,69.23000336,13.52000046,48.95999908,79.91666667
31.8,39.2,24.8,1005,38,1.9,8.1,0.140000001,28.57999992,68.55000305,3.200000048,50.68999863,38.5
31.4,39.2,22.8,1002.9,24,1.9,11.5,0.090000004,34.27000046,74.59999847,6.510000229,46.95999908,94
29.9,38.8,21.7,1000.8,29,1.9,12,0.180000007,25.79999924,53.11999893,2.609999895,41.04999924,142
29.7,38.3,21.6,999.3,35,1.9,10.2,0.209999993,24.53000069,74.59999847,5.860000134,33.06999969,133
31.4,42,19.8,999,38,1.9,2.6,0.189999998,26.03000069,55.54000092,7.829999924,58.83000183,102
32.7,42,24.3,1000.6,37,1.9,3.1,0.129999995,36.20000076,63.47999954,2.50999999,42.77000046,101
32.9,41.6,26,1001.4,46,1.9,3.7,0.159999996,21.98999977,72.22000122,7.03000021,36.95999908,117
32.8,40.8,25.3,1002,36,1.8,7.2,0.200000003,26.77000046,70.11000061,9.18999958,30.57999992,147
34.1,42,23.7,1001.4,29,1.9,9.3,0.75,38.84999847,62.54999924,8.340000153,40.29000092,158
34.1,42,26.8,1000.8,32,1.9,7.8,0.180000007,32.72000122,60,8.340000153,25.54000092,149
33.6,41.9,25.2,1000.2,35,1.9,10.2,0.419999987,26.27000046,61.15999985,10.28999996,51.65999985,107.2916667
31,40.6,24.6,1000,40,1.9,14.8,0.239999995,67.01000214,37.13000107,20.12999916,30.94000053,96
30.2,36.1,25.4,1003.5,46,2.3,7,0.219999999,32.52999878,63.38999939,7.199999809,41.63000107,76
30.9,37.6,23.2,1003.7,44,1.9,3.5,0.059999999,63.83000183,40.79999924,5.239999771,43.47000122,101
32.9,39.8,24.7,1001,38,1.9,5.6,0.090000004,66.66999817,41.65000153,7.199999809,26.63999939,106
30.6,37.4,24.8,1000.8,47,1.9,2.2,0.090000004,54.52000046,49.95000076,7.039999962,17.78000069,128
33,40.8,25.4,998.5,39,1.8,7.2,0.189999998,56,49.75999832,5.789999962,35.25999832,108
33.4,42.2,25.2,999.9,32,1.9,8.9,0.25999999,24.72999954,69.91000366,9.170000076,30.95999908,125
33.1,43.2,25.6,998.5,39,1.9,11.7,0.280000001,51.95000076,60.20000076,4.440000057,40.45999908,137
36.2,44.6,25.9,999.2,29,1.9,15,0.180000007,33.97000122,79.68000031,4.929999828,39.40999985,101
36.2,44.6,29.2,999.1,32,1.9,10.6,0.310000002,66.51999664,32.70999908,9.75,35.97999954,98
36.8,45.1,28,999.1,26,1.9,12,0.239999995,31.21999931,73.44999695,10.27000046,34.27000046,94
36.8,45.1,30.3,998.7,29,1.9,17.6,0.029999999,18.12999916,55.61000061,3.480000019,25.45000076,118
37.9,45.7,31.4,996.8,29,1.9,15.2,0.280000001,36.79000092,64.93000031,13.93999958,35.50999832,89
37.4,45.7,29.5,996.6,36,1.9,10,0.129999995,65.31999969,41.09000015,3.880000114,35.02999878,87
37.7,45,30.5,998.1,32,1.9,10,0.100000001,26.32999992,84.26999664,6.159999847,34.79999924,107
36.2,43.6,29.3,998.4,32,2.3,8.1,0.180000007,40.04999924,46.15999985,2.660000086,35.88000107,110
35.6,42.6,30.2,999.3,41,1.9,8.1,0.230000004,25.46999931,66.56999969,6.03000021,28.81999969,95
35.6,43,29,999.8,36,1.8,8.5,0.189999998,22.87999916,60.84999847,7.570000172,44.70000076,93
34.9,43,27.8,999.2,32,1.9,6.9,0.150000006,37.36999893,69.77999878,2.640000105,32.77000046,97
33.8,42.8,27.8,998.9,32,1.9,8.3,0.180000007,42.09000015,58.52000046,7.360000134,29.94000053,76.95833333
33.6,40.6,24.8,998.8,47,1.9,10.6,0.219999999,44.95000076,57.86999893,9.840000153,27.03000069,72
31.9,40.6,26.7,1002,61,1.9,13.5,0.75,47.02999878,59,6.090000153,30.95999908,38
32.4,38.5,26.6,1001,63,2.3,13.3,0.239999995,49.38000107,48.61000061,8.680000305,18.61000061,45
34.1,40.3,28.8,999.7,59,1.9,10.9,0.419999987,23.52000046,67.93000031,10.43000031,41.68000031,65
35.9,41.7,28.2,999.9,49,1.9,5,0.449999988,96.75,18.19000053,21.20999908,58.08000183,67
37.3,43.6,30.5,997.8,42,1.9,9.3,0.230000004,44.58000183,56.40999985,7.619999886,32.97999954,80
32.2,43.6,26,997.4,64,1.9,10.2,0.280000001,91.73999786,22.18000031,7.369999886,42.18999863,74
34.1,43.2,25.7,997.9,57,1.9,7.4,0.119999997,69.66999817,32.59999847,7.510000229,37.93000031,66
34.2,39.8,29.1,996.7,64,1.9,13.7,0.189999998,67.65000153,37.54999924,7.869999886,29.84000015,77
35.1,40.2,30.2,995.2,52,1.9,8.5,0.310000002,71.09999847,37.43000031,6.760000229,29.27000046,70
36.6,41.6,29.6,995.3,50,1.9,8.1,0.319999993,50.63000107,53.08000183,10.48999977,27.53000069,75
30.4,41.6,27.8,999.5,68,1.9,13.7,0.409999996,73.08000183,34.93000031,7.21999979,40.38000107,37
34.1,39.2,27.2,997.8,62,1.9,6.5,0.239999995,45.99000168,69.12000275,6.380000114,35.63999939,57
30.3,39.2,28.8,998.6,75,1.9,10.2,0.870000005,125.3000031,6.650000095,19.64999962,56.81000137,56
30.4,38.6,27.8,997.7,73,1.9,8,0.519999981,40.13999939,63.91999817,11.86999989,29.46999931,77
29.8,38.6,24.6,997.9,71,2.3,12.6,0.050000001,37.31999969,43.72999954,3.599999905,25.46999931,32
27.1,31.5,23.7,996.5,90,1.8,8.5,0.419999987,63.41999817,40.13999939,16.64999962,34.56000137,40
26.9,31.5,23.5,994.7,90,1.4,8.3,0.219999999,59.34999847,48.15999985,4.2,35.36999893,42
28.6,32.1,23.5,996.7,85,1.1,5.4,0.569999993,85.27999878,34.59000015,7.539999962,39.81000137,93
29.7,35.5,24.8,999,76,1.9,4.3,0.219999999,67.25,31.11000061,4.510000229,33.66999817,80
33,38.4,25.3,997.6,58,1.8,4.8,0.319999993,30.63999939,61.06000137,6.400000095,22.04999924,90
35.6,41,27.3,995.5,49,1.9,7.4,0.310000002,47.74000168,36.88000107,8.020000458,37.27000046,97
35.9,41,31.2,996,47,1.9,10.9,0.280000001,52.72999954,41.52000046,3.710000038,29.69000053,79
35.2,40.6,29.8,995.4,59,1.9,7.6,0.319999993,52.16999817,52.18999863,8.270000458,26.78000069,87
33.4,39.4,29.4,996.1,62,1.9,13,0.25999999,44.09999847,58.02999878,11.57999992,19.29000092,63.5
31,39.4,27.8,999.2,74,1.9,11.5,0.829999983,86.59999847,26.80999947,8.3,28.27000046,50
31.2,35.7,27.2,998.4,75,1.9,6.3,0.430000007,69.31999969,35.13000107,9.420000076,14.64999962,40
31.2,37.1,27.6,996.8,71,1.9,8.1,0.430000007,33.97000122,53.72000122,10.60000038,34.08000183,49
31.5,37.1,25.9,996.1,71,1.9,8.9,0.50999999,102.5,18.47999954,24.62999916,58.08000183,43
32.3,39.8,28.5,995.3,66,1.9,11.1,0.370000005,63.81000137,40.81999969,9.279999733,32.27999878,52
32.7,39.8,25.2,997.2,59,1.9,10.6,0.889999986,127.8000031,11.97999954,11.36999989,45.72000122,49
33.9,39.2,27.8,995.2,62,1.9,8.9,0.430000007,97.80999756,17.04000092,8.789999962,27.53000069,61.875
31.6,37.6,26.9,997.5,76,1.9,6.5,0.49000001,95.95999908,16.90999985,8.989999771,31.89999962,29.66666667
32.4,37.5,28.4,997.1,73,1.9,9.3,0.670000017,94.23999786,17.07999992,7.809999943,21.38999939,47
32.1,37.5,28.3,997.6,72,1.9,11.9,0.5,85.06999969,30.96999931,11.97000027,29.05999947,37
31.2,36.7,27.3,1000.4,75,1.9,11.3,1.110000014,107.5,8.579999924,14.05000019,50.47000122,33
31.1,35,27.9,1000.1,81,1.9,7.2,0.49000001,83.25,44.54000092,7.349999905,36.88000107,49.125
30.3,35.8,27.2,997.5,78,1.9,7.6,1.360000014,134.1000061,6.159999847,20.26000023,77.66999817,43
29.2,35.4,24.6,996.4,81,1.8,7.4,0.850000024,80.91999817,34.91999817,15.31999969,29.02000046,29
29.8,35.1,22.8,995.8,79,1.9,6.5,0.400000006,72.37999725,20.25,5.369999886,30.15999985,29.66666667
31.7,36.2,26.8,997.9,74,1.9,8.1,0.75999999,94.87000275,18.98999977,18.42000008,37.38000107,56
29,36.2,27.3,999.9,90,1.8,5.6,0.50999999,102.0999985,18.56999969,5.559999943,38.45999908,39
31.8,36.7,25.8,998.8,75,1.9,8.3,0.870000005,107,21.06999969,8.43999958,52.15000153,35
31.1,37.2,28.2,997.5,76,1.9,3.9,0.699999988,109.4000015,11.36999989,10.56999969,41.95999908,37
31.7,37.2,26.8,998.3,78,1.9,7.8,0.920000017,99.36000061,23.62000084,7.940000057,47.75,41
29.8,36.4,28,999,87,1.8,4.6,0.50999999,77.88999939,17.64999962,8.640000343,47.27999878,53
30.8,35.1,26.7,997.9,82,1.9,6.1,0.550000012,87.36000061,23.45000076,4.539999962,35.04999924,54
30.4,34.1,27.2,995.6,84,1.6,4.4,0.529999971,92.63999939,23.37000084,10.35999966,31.71999931,65
30.9,35.4,25.8,995,77,1.9,10.4,0.519999981,81.83999634,31.28000069,13.44999981,17.48999977,38
26.8,35.4,24.2,999,93,1.1,6.3,1.210000038,111,14.47000027,12.52999973,33.81999969,36
29.1,33.8,23.9,996.3,86,1.4,2.6,0.839999974,103.3000031,10.13000011,15.77000046,33.34999847,70
29.5,32.7,26.7,996.9,84,1.6,5.7,0.579999983,65.16999817,30.31999969,11.47999954,37.86999893,52
31.2,35.5,26,997.9,78,1.9,4.3,0.959999979,124.6999969,7.440000057,27.37999916,73.88999939,36
30.2,37.1,27.9,997.2,84,1.4,4.8,0.730000019,97.19999695,20.01000023,11.53999996,37.90999985,45
28.5,34.4,26.3,995.5,87,1.6,7,1.50999999,129.5,9.710000038,15.56999969,68.45999908,33
30.4,35.1,24.8,995.2,77,1.9,5.2,0.75,108,8.359999657,10.97999954,49.74000168,38
30,35.5,26.2,997.5,83,1.9,3.7,0.680000007,111.5999985,9.720000267,14.25,71.09999847,26
32.4,36,27,997.9,72,1.9,5.7,0.860000014,105,11.31999969,9.329999924,30.54000092,57
30.9,36,27.2,997.4,81,1.9,5.9,0.800000012,122.4000015,7.119999886,17.45000076,78.20999908,30
30.2,36,25.8,996.9,82,1.9,8.9,1.450000048,115.4000015,6.96999979,15.69999981,59.99000168,35
29,33.7,26.9,996.5,82,1.9,9.8,0.730000019,100.0999985,36.59000015,10.34000015,52.43999863,15
31.1,34.9,25.9,998.2,76,1.9,6.7,1.720000029,152.8000031,2.619999886,25.46999931,90.69999695,41
31.8,36,27.5,999.6,71,1.9,11.7,1.370000005,103.0999985,22.73999977,18.62000084,42.93000031,25
32.2,36.1,27.4,1000.8,69,1.9,9.3,0.589999974,86.62000275,11.72999954,6.920000076,38.09999847,28
32.3,36.1,27.5,1000,70,1.9,4.4,1.129999995,106.8000031,13.44999981,21.29999924,58.08000183,40
29.4,35.8,27.7,1000.7,82,1.4,6.1,0.430000007,89.97000122,29.52000046,5.610000134,37.13999939,39
27.3,34.3,25.8,1002.4,92,1.4,4.8,1.570000052,120.8000031,16.42000008,10.06999969,73.44000244,41
28.4,30.6,25.3,1001.8,88,1.4,3.1,0.99000001,115.0999985,7.130000114,14.10000038,56.72999954,50
28.1,30.8,25.8,1000.6,88,1.9,8,1.059999943,132.1999969,6.519999981,9.609999657,71.98999786,35
27.4,30.8,25.4,1000.8,90,1.9,3.1,0.649999976,96.43000031,10.84000015,9.93999958,58.5,31
29.3,34.9,25,1000.2,83,1.9,5.7,0.709999979,106.5999985,11.13000011,7.949999809,51.93999863,36
29.8,33.2,26.1,1001.5,82,2.3,6.7,0.800000012,96.93000031,25.38999939,12.15999985,52.90000153,33
30.3,34.6,26.7,1001.1,80,1.9,7,0.709999979,103.1999969,18.40999985,15.64000034,26.85000038,35
30.1,34.6,27.2,1000,79,1.9,10.2,1.370000005,124.1999969,9.090000153,14.72000027,55.75,35
29.7,34.9,26.1,1000.3,79,1.9,8.3,0.720000029,94.08999634,5.710000038,19.30999947,68.98000336,26
27.7,30.7,24.8,1001.8,88,1.9,7.2,0.689999998,80.91999817,22.07999992,13.28999996,44.61000061,21
26.9,30.5,25.4,1000.2,93,1.6,5.7,0.800000012,130.6999969,9.069999695,27.21999931,92.44999695,18
27.3,32.6,23.5,999.3,92,1.3,13.9,0.959999979,110.0999985,13.55000019,14.13000011,56.31999969,28
28.9,33.1,24.4,999.6,83,1.9,2.8,1.799999952,127.6999969,8.859999657,19.46999931,91.83999634,34
28.4,33.1,26,1000,86,1.9,5,1.649999976,110.4000015,8.380000114,11.57999992,100.3000031,35
27.4,33.5,24.4,999.1,90,1.1,5.4,0.74000001,107.8000031,10.31000042,12.52999973,76.79000092,43
29.2,34.4,24.8,999,81,2.1,7.8,0.910000026,108.0999985,10.10000038,9.890000343,89.97000122,46
28.5,34.4,24.9,1001.4,82,1.9,4.8,0.819999993,111.9000015,8.899999619,16.64999962,147.3000031,28
30.7,35,25.3,1001.3,79,1.6,2.4,1.639999986,108.4000015,4.5,18.25,86.69000244,70
31.9,36.5,26.7,1000.8,75,1.6,10.9,0.930000007,103.6999969,26.44000053,14.09000015,71.19000244,58
30.4,36.5,27.8,999.3,82,1.4,2,1.440000057,137.5,5.139999866,21.73999977,113,82
32.1,36.7,26.8,998.1,74,1.9,6.5,1.860000014,105.8000031,15.03999996,25.11000061,66.80999756,64
32,35.5,27.6,999.8,65,2.6,16.9,0.75,69.37999725,10.85999966,10.43999958,72.44000244,30
29.9,35.5,26.5,1003.8,69,1.9,7.6,1.029999971,95.51000214,12.31999969,22.28000069,82.83000183,31
30.6,35.1,25.6,1003.9,70,1.9,7.4,0.49000001,97.69000244,24.29000092,7.349999905,73.13999939,41
29.3,31.8,24.3,1003.4,79,1.9,3.7,1.019999981,111.5999985,25.80999947,9.779999733,76.70999908,45
29.1,34.2,25.9,1003.4,76,1.9,5.6,1.039999962,110.4000015,6.110000134,13.72999954,96.41999817,34
30.2,35.6,25.6,1003.6,68,3.1,14.8,0.810000002,87.51000214,7.190000057,9.279999733,79.86000061,33
31.7,35.9,27,1003.6,59,2.6,14.4,0.5,75.22000122,29.54999924,8.81000042,62.04000092,30
31.6,36.3,25.9,1002.7,58,2.7,15.4,0.469999999,109.8000031,30.23999977,5.409999847,53.77999878,30
31.1,36.3,25.8,1002.2,58,2.7,15.6,0.74000001,98.70999908,18.10000038,12.30000019,79.37999725,31
30.7,35.6,25.4,1001.6,57,2.6,14.6,0.600000024,98.80999756,16.75,19.27000046,57.31999969,34
30.2,35.2,25.3,1003.6,63,1.9,11.7,1.090000033,116,15.73999977,11.53999996,57.52000046,11.625
31,35.5,26.4,1007.7,67,1.9,2,0.5,77.56999969,9.75,15.68999958,93.75,26.16666667
30.6,36,25.8,1007.2,74,1.6,2.8,0.689999998,78.76999664,22.40999985,13.73999977,66.18000031,76.875
31.2,36.4,25.8,1004.4,69,1.9,2,0.699999988,111.5,13.21000004,24.62999916,58.08000183,83
31.6,36.8,25.9,1001.5,63,2.4,3.9,0.970000029,102.5999985,14.77999973,14.64000034,81.59999847,71
